CUT,Nombre,Unnamed,Provincia,Region,Superficie_km2,Poblacion2017,Densidad_hab_km2,IDH 2005,IDH 2005_1,Latitud,Longitud
11202,Cisnes,,Aysén,Aysén del Gral. C. Ibáñez del Campo,16093,6517,0.41,0.725,Alto,"-44°45'3.6""","-72°41'49.2"""
11203,Guaitecas,,Aysén,Aysén del Gral. C. Ibáñez del Campo,620.6,1843,2.97,0.654,Medio,"-43°53'2.4""","-73°57'0"""
11301,Cochrane,,Capitán Prat,Aysén del Gral. C. Ibáñez del Campo,8.599.5,3490,0.41,0.6679999999999999,Medio,"-47°16'1.2""","-72°32'60"""
11302,O'Higgins,,Capitán Prat,Aysén del Gral. C. Ibáñez del Campo,8182.5,625,0.08,0.5720000000000001,Bajo medio,"-48°47'60""","-73°10'58.8"""
11303,Tortel,,Capitán Prat,Aysén del Gral. C. Ibáñez del Campo,19710.6,523,0.03,0.655,Medio,"-47°46'51.6""","-73°30'43.2"""
11401,Chile Chico,,General Carrera,Aysén del Gral. C. Ibáñez del Campo,5737.1,4865,0.85,0.7070000000000001,Alto,"-46°32'60""","-71°43'58.8"""
11402,Río Ibáñez,,General Carrera,Aysén del Gral. C. Ibáñez del Campo,5997.2,2666,0.45,0.654,Medio,"-46°15'18""","-71°57'0"""
12101,Punta Arenas,,Magallanes,Magallanes y Antártica Chilena,17846.3,131592,7.37,0.748,Alto,"-53°8'52.8""","-70°54'25.2"""
12102,Laguna Blanca,,Magallanes,Magallanes y Antártica Chilena,3695.6,274,0.07,0.785,Alto,"-52°16'1.2""","-71°10'58.8"""
12103,Río Verde,,Magallanes,Magallanes y Antártica Chilena,17248,617,0.04,0.784,Alto,"-52°37'40.8""","-71°28'37.2"""
12104,San Gregorio,,Magallanes,Magallanes y Antártica Chilena,6883.7,799,0.12,0.823,Muy alto,"-52°34'1.2""","-70°4'1.2"""
12201,Cabo de Hornos,,Antártica Chilena,Magallanes y Antártica Chilena,15578.7,2063,0.13,0.8059999999999999,Muy alto,"-54°56'49.2""","-67°36'25.2"""
12202,Antártica,,Antártica Chilena,Magallanes y Antártica Chilena,1250257.6,127,0.0001,,Medio,"-75°0'0""","-71°30'00"""
12301,Porvenir,,Tierra del Fuego,Magallanes y Antártica Chilena,9707.4,6801,0.7,0.731,Alto,"-53°17'52.8""","-70°23'6"""
12302,Primavera,,Tierra del Fuego,Magallanes y Antártica Chilena,4253.4,1158,0.27,0.774,Alto,"-52°53'9.6""","-69°21'10.8"""
12303,Timaukel,,Tierra del Fuego,Magallanes y Antártica Chilena,10758.9,405,0.04,0.7170000000000001,Alto,"-53°40'19.2""","-69°42'36"""
12401,Natales,,Última Esperanza,Magallanes y Antártica Chilena,49924.1,21477,0.43,0.6990000000000001,Alto,"-51°43'58.8""","-72°31'1.2"""
12402,Torres del Paine,,Última Esperanza,Magallanes y Antártica Chilena,6630,1209,0.18,0.73,Alto,"-50°58'55.2""","-72°29'56.4"""
13101,Santiago,,Santiago,Metropolitana de Santiago,23.2,404495,17435.1,0.807,Muy alto,"-33°26'14""","-70°39'26"""
13102,Cerrillos,,Santiago,Metropolitana de Santiago,21,80832,3849.1,0.743,Alto,"-33°30'0""","-70°43'0"""
13103,Cerro Navia,,Santiago,Metropolitana de Santiago,11,132622,12056.5,0.6829999999999999,Medio,"-33°25'19.2""","-70°44'6"""
13104,Conchalí,,Santiago,Metropolitana de Santiago,10.7,126955,11865.0,0.7070000000000001,Alto,"-33°22'48""","-70°40'30"""
13105,El Bosque,,Santiago,Metropolitana de Santiago,14.2,162505,11444.0,0.711,Alto,"-33°34'1.2""","-70°40'30"""
13106,Estación Central,,Santiago,Metropolitana de Santiago,15,147041,9802.7,0.735,Alto,"-33°27'32.4""","-70°41'56.4"""
13107,Huechuraba,,Santiago,Metropolitana de Santiago,44.8,98671,2202.5,0.737,Alto,"-33°22'4.8""","-70°38'2.4"""
13108,Independencia,,Santiago,Metropolitana de Santiago,7,100281,14325.9,0.7090000000000001,Alto,"-33°24'46.8""","-70°39'57.6"""
13109,La Cisterna,,Santiago,Metropolitana de Santiago,10,90119,9011.9,0.775,Alto,"-33°31'44.4""","-70°39'46.8"""
13110,La Florida,,Santiago,Metropolitana de Santiago,70.2,366916,5226.7,0.804,Muy alto,"-33°31'30""","-70°32'16.8"""
13111,La Granja,,Santiago,Metropolitana de Santiago,10,116571,11657.1,0.6890000000000001,Medio,"-33°31'60""","-70°37'30"""
13112,La Pintana,,Santiago,Metropolitana de Santiago,30.6,177335,5795.3,0.679,Medio,"-33°34'58.8""","-70°38'2.4"""
13113,La Reina,,Santiago,Metropolitana de Santiago,23,92787,4034.2,0.883,Muy alto,"-33°26'34.8""","-70°31'55.2"""
13114,Las Condes,,Santiago,Metropolitana de Santiago,99,294838,2978.2,0.9329999999999999,Muy alto,"-33°25'0""","-70°35'0"""
13115,Lo Barnechea,,Santiago,Metropolitana de Santiago,1024,105833,103.4,0.912,Muy alto,"-33°21'0""","-70°31'0"""
13116,Lo Espejo,,Santiago,Metropolitana de Santiago,7,98804,14114.9,0.657,Medio,"-33°31'19.2""","-70°41'13.2"""
13117,Lo Prado,,Santiago,Metropolitana de Santiago,7,96249,13749.9,0.715,Alto,"-33°26'42""","-70°43'33.6"""
13118,Macul,,Santiago,Metropolitana de Santiago,12.9,116534,9033.6,0.8059999999999999,Muy alto,"-33°29'13.2""","-70°36'14.4"""
13119,Maipú,,Santiago,Metropolitana de Santiago,135.5,521657,3849.6,0.902,Muy alto,"-33°31'0""","-70°46'0"""
13120,Ñuñoa,,Santiago,Metropolitana de Santiago,16.9,208237,13321.7,0.86,Muy alto,"-33°27'14.4""","-70°36'14.4"""
13121,Pedro Aguirre Cerda,,Santiago,Metropolitana de Santiago,10,101174,10117.4,0.708,Alto,"-33°27'58.8""","-70°38'1.2"""
13122,Peñalolén,,Santiago,Metropolitana de Santiago,54,241599,4474.1,0.743,Alto,"-33°29'10.28""","-70°32'0"""
13123,Providencia,,Santiago,Metropolitana de Santiago,14.3,142079,9935.6,0.9109999999999999,Muy alto,"-33°26'6""","-70°36'57.6"""
13124,Pudahuel,,Santiago,Metropolitana de Santiago,197,230293,1197.0,0.735,Alto,"-33°26'0""","-70°43'0"""
13125,Quilicura,,Santiago,Metropolitana de Santiago,58,210410,3627.8,0.782,Alto,"-33°21'39.6""","-70°43'44.4"""
13126,Quinta Normal,,Santiago,Metropolitana de Santiago,13,110026,8463.5,0.723,Alto,"-33°25'37.2""","-70°41'56.4"""
13127,Recoleta,,Santiago,Metropolitana de Santiago,16,157851,9865.7,0.6970000000000001,Alto,"-33°24'21.6""","-70°38'24"""
13128,Renca,,Santiago,Metropolitana de Santiago,24,147151,6131.3,0.7090000000000001,Alto,"-33°23'52.8""","-70°43'22.8"""
13129,San Joaquín,,Santiago,Metropolitana de Santiago,9.7,94492,9741.4,0.7190000000000001,Alto,"-33°29'27.6""","-70°37'40.8"""
13130,San Miguel,,Santiago,Metropolitana de Santiago,10.0,107954,10795.4,0.765,Alto,"-33°29'9""","-70°38'58"""
13131,San Ramón,,Santiago,Metropolitana de Santiago,7,82900,11842.8,0.679,Medio,"-33°31'60""","-70°38'30"""
13132,Vitacura,,Santiago,Metropolitana de Santiago,28.3,85384,3017.1,0.9490000000000001,Muy alto,"-33°24'0""","-70°36'0"""
13201,Puente Alto,,Cordillera,Metropolitana de Santiago,88,568106,6455.8,0.773,Alto,"-33°36'57.6""","-70°34'12"""
13202,Pirque,,Cordillera,Metropolitana de Santiago,445.3,26521,59.6,0.807,Muy alto,"-33°38'60""","-70°33'50.4"""
13203,San José de Maipo,,Cordillera,Metropolitana de Santiago,4994.8,18189,3.64,0.759,Alto,"-33°38'38.4""","-70°21'10.8"""
13301,Colina,,Chacabuco,Metropolitana de Santiago,971.2,146207,150.5,0.726,Alto,"-33°11'38.4""","-70°40'4.8"""
13302,Lampa,,Chacabuco,Metropolitana de Santiago,452,102034,225.7,0.6970000000000001,Medio,"-33°17'9.6""","-70°52'40.8"""
13303,Til Til,,Chacabuco,Metropolitana de Santiago,653,19312,29.6,0.706,Alto,"-33°5'6""","-70°55'30"""
13401,San Bernardo,,Maipo,Metropolitana de Santiago,155,301313,1943.9,0.7120000000000001,Alto,"-33°34'55.2""","-70°41'13.2"""
13402,Buin,,Maipo,Metropolitana de Santiago,214,96614,451.5,0.731,Alto,"-33°43'40.8""","-70°44'20.4"""
13403,Calera de Tango,,Maipo,Metropolitana de Santiago,73.3,25392,346.4,0.792,Alto,"-33°37'40.8""","-70°47'6"""
13404,Paine,,Maipo,Metropolitana de Santiago,820,72759,88.7,0.718,Alto,"-33°48'43.2""","-70°43'22.8"""
13501,Melipilla,,Melipilla,Metropolitana de Santiago,1345,123627,91.9,0.735,Alto,"-33°41'20.4""","-71°12'28.8"""
13502,Alhué,,Melipilla,Metropolitana de Santiago,845,6444,7.63,0.7,Alto,"-34°1'58.8""","-71°5'60"""
13503,Curacaví,,Melipilla,Metropolitana de Santiago,693,32579,47.0,0.71,Alto,"-33°23'56.4""","-71°8'13.2"""
13504,María Pinto,,Melipilla,Metropolitana de Santiago,393.5,13590,34.5,0.698,Alto,"-33°30'54""","-71°7'8.4"""
13505,San Pedro,,Melipilla,Metropolitana de Santiago,788,9726,12.3,0.701,Alto,"-33°53'60""","-71°28'1.2"""
13601,Talagante,,Talagante,Metropolitana de Santiago,126,74237,589.2,0.7490000000000001,Alto,"-33°40'1.2""","-70°55'51.6"""
13602,El Monte,,Talagante,Metropolitana de Santiago,118,35923,304.4,0.688,Medio,"-33°41'2.4""","-71°1'1.2"""
13603,Isla de Maipo,,Talagante,Metropolitana de Santiago,189,36219,191.6,0.7240000000000001,Alto,"-33°45'14.4""","-70°53'9.6"""
13604,Padre Hurtado,,Talagante,Metropolitana de Santiago,80.8,63250,782.8,0.728,Alto,"-33°34'33.6""","-70°47'60"""
13605,Peñaflor,,Talagante,Metropolitana de Santiago,69,90201,1307.3,0.753,Alto,"-33°36'22.6""","-70°52'35.48"""
